RL2.F,SUMITOMO REALTY DEV
4XI.F,XINCHEN CN POWER
0NH.F,NOMAD FOODS
GIS.F,GILEAD SCIENCES
R3V.F,REGENT VENTURES
ZOF.F,SBI HOLDINGS
EPE.F,EPIZYME
WMQ1.F,NORTEC MINERALS
NB2.F,NATL PENN BANCSHS
0XE.F,XERO
XWM.F,NATIONAL CINEMEDIA
0JUA.F,JUMEI INT SP ADS-A
QIT1.F,CIT GROUP
2WP.F,WORLD POINT TERM
XRP1.F,SILENCE THERA
XQB.F,ALTRA INDUST MOTORS
QU4B.F,C C LAND HLDGS
NVPB.F,KRUNG THAI BK NVDR
ZNHH.F,CHINA SOUTHN AIR-H-
WWG.F,GELSENWASSER
CM4.F,CONE MIDSTREAM PART
CPK.F,CAPCOM
8MZ.F,MAS ZAN
GJF.F,ZHONG FA ZHAN HLDGS
W5G.F,WAGEWORKS
Z3S.F,SCORPIO GOLD
SMU.F,SAMCO
YMP3.F,SYMPHONY HLDGS
TKD.F,TAKEDA PHARMA
UG5A.F,TIGER BRANDS
28T.F,TOPBUILD
QPMB.F,AQUARIUS PLT SP ADR
OMV.F,OMV 
FDK.F,AMERICAN STS WATER
IU2.F,YARA INTERNATIONAL
2OB.F,ONCOLYS BIO
32V.F,VALIDUS HLDGS
T9Z.F,ZUMTOBEL GR
6CW.F,CIG WIRELESS
TXRN.F,XERIUM TECHNOLG
OSG.F,OSG           
WW2.F,CITI TRENDS
M9R.F,CANADA ZINC METALS
CAO.F,CONAGRA FOODS
OTES.F,HELLENIC SP.ADR
W3N.F,VENTSPILS NAFTA
XSC.F,SECOM
XVO.F,BAOBAB RESOURCES
ZZMS.F,COMMERZBANK SP ADR
CXGH.F,XINJIANG GOLDWI -H-
XEJ.F,ACCURAY
KEBA.F,KENCANA AGRI
ZSB.F,SIRONA BIOCHEM
SCR.F,SOUTHCROSS ENER
B4A1.F,WALTER MEIER N
98P.F,PNM RESOURCES
NISA.F,NISSAN MOTOR CO LTD
KIS.F,KISSEI PHARMA
WER.F,WERELDHAVE NV
TGR.F,YUM BRANDS
XMPA.F,CYTORI THERAPEUTICS
MMG.F,MITSUI MNG & SMLT
NBC.F,NATL BK CANADA
ASI1.F,ASICS CORP
7SS.F,SAROSSA
4V1.F,VGP
QIN.F,QINGLING MOTORS -H-
I3N.F,CHART INDUSTRIES
WY2.F,YAMAYA
NRN.F,XCEL ENERGY 
XRG.F,XIAMEN INT PRT -H-
H4M.F,HITACHI ZOSEN FUKUI
XS4.F,ON SEMICONDUCTOR 
BRL1.F,BARLOWORLD
FJE.F,FUJI ELECTRIC
ET81.F,AETERNA ZENTARIS
YAAA.F,CDN TIRE CORP -A-
42S.F,PANDORA MEDIA
1875661.F,BCP FIN PERP NCNVP
QS31.F,SOLOCAL 
JCP.F,JC PENNEY
QLT.F,QLT 
1811020.F,ERSTE FIN 4 NCNPP
5G5.F,GOPRO-A
AON.F,AOZORA BANK
ALVA.F,ALLIANZ SP ADR
9Z1.F,VALUE PARTNERS GRP
OR7.F,ORICON
WE1.F,WERNER ENTERPRISES
PZ6.F,POZEN
VA9.F,CRED. VALTELLINESE
4AB.F,ABBVIE
4FK.F,FUKUOK FIN GROUP
HOD.F,HOSIDEN
0IG.F,TELIGENT
ZIM.F,ZIMMER BIOMET HLDGS
CA3.F,COMERICA INC
W3U.F,THE WESTERN UNION
VBO.F,CGN MINING
5ZO.F,ZUOAN FSH SP ADR
NY41.F,NRG YIELD-C
16V.F,VISIATIV 
UBRA.F,UBS N
3VF.F,VP BANK 
YSS1.F,AMERICAN INDEPENDEN
1PXA.F,PHOENIX NW SP ADS-A
YUM.F,SHK HONG KONG IND
4PX.F,YURI GAGARIN
ZEGA.F,ASTRAZENECA SP ADS
PUM.F,PUMA
FSH.F,FU SHOU YUAN
ZKH.F,ZENKOKU HOSHO
BFP.F,BBVA BC FRAN SP.ADR
MUT3.F,MINERAL UEBERK. VZ
STO3.F,STO VZ
RV0.F,RIO NOVO GOLD
286.F,SAFECHARGE
IMP.F,IMPERIAL OIL
QHI.F,SHIMAO PPTY
WAL.F,WALTER ENERGY 
YM1.F,PANORAMIC RES
DHG.F,DALATA HOTEL
VSP.F,STARWOOD REIT-SBI
WMT.F,WAL-MART STORES
AAK.F,ANN 
OZ4.F,WOULFE MINING
EII.F,EISAI CO LTD
V4JA.F,STARCORE INTL MINES
3NQ.F,NANOCARRIER
UDM.F,TASEKO MINES
XP0.F,XENON PHARMA
XS5B.F,ECHO THERAPEUTICS
SH0.F,SHIONOGI & CO LTD
XOU.F,SOHU.COM 
QA4A.F,GENTHERM
PEP.F,PEPSICO
MS7.F,MICROSEMI CORP
3N8.F,NABTESCO
JXS.F,OREXIGEN THERAPUTCS
ZEH1.F,ZEHNDER GRP
LLY.F,ELI LILLY & CO
VG8A.F,VAR BK ANR.26.1.16
VB2.F,VASTNED RETAIL
EPN.F,ENDESA SP ADR
QSU.F,SCSK
WBCC.F,WESTPAC BKG SP ADR
XSNA.F,SECURITY NATL FIN-A
6W2.F,WS ATKINS
